€;1;2;3;4;5;6
E 15Ü;6994.28;7739.08;8445.94;8909.53;9023.57;
E 15;5771.55;6188.65;6409.05;7191.91;7784.71;8011.61
E 14;5246.46;5626.22;5937.84;6409.05;7131.05;7338.37
E 13Ü;;5208.21;5474.23;6409.05;7131.05;7338.37
E 13;4854.56;5208.21;5474.23;5991.03;6705.45;6899.98
E 12;4397.12;4691.40;5314.62;5861.84;6568.65;6759.07
E 11;4261.92;4533.76;4843.40;5314.62;5998.64;6171.97
E 10;4119.19;4385.95;4691.40;5002.99;5595.85;5757.08
E 9b;3692.50;3948.23;4115.77;4578.77;4972.60;5115.17
E 9a;3692.50;3948.23;4004.09;4115.77;4578.77;4708.08
E 8;3487.91;3732.20;3871.43;4004.09;4150.70;4241.44
E 7;3300.55;3539.11;3718.60;3857.49;3969.19;4066.90
E 6;3250.30;3486.44;3618.14;3752.78;3843.51;3941.24
E 5;3135.45;3367.91;3499.61;3624.73;3725.39;3794.66
E 4;3008.22;3242.80;3407.42;3499.61;3591.82;3651.06
E 3;2973.88;3203.28;3269.13;3374.49;3460.10;3532.54
E 2Ü;2867.42;3091.33;3176.93;3282.32;3354.75;3453.53
E 2;2797.70;3012.30;3078.16;3144.01;3295.46;3453.53
E 1;;2585.18;2616.36;2653.82;2691.28;2784.91
